Time,Var1
50.105초,-0.01227279
50.11초,-0.01227001
50.156초,-0.01225605
50.206초,-0.01223412
50.257초,-0.01219785
50.307초,-0.01220143
50.358초,-0.01218412
50.403초,-0.01219484
50.459초,-0.01218801
50.504초,-0.0121264
50.555초,-0.01216146
50.611초,-0.01208268
50.656초,-0.01210042
50.707초,-0.01207015
50.757초,-0.01215277
50.808초,-0.01214252
50.858초,-0.0121159
50.904초,-0.01201027
50.959초,-0.01197445
51.005초,-0.01201853
51.055초,-0.01213177
51.106초,-0.01202529
51.156초,-0.01186929
51.207초,-0.01182716
51.257초,-0.01182912
51.308초,-0.01156112
51.358초,-0.01115605
51.404초,-0.01090708
51.454초,-0.01086763
51.51초,-0.01067906
51.555초,-0.01042789
51.606초,-0.01013158
51.656초,-0.01020029
51.707초,-0.0101535
51.757초,-0.009849992
51.803초,-0.009664012
51.858초,-0.009827157
51.909초,-0.009817767
51.954초,-0.00967027
52.01초,-0.009395731
52.055초,-0.009486279
52.106초,-0.009643875
52.157초,-0.00946676
52.207초,-0.009275464
52.258초,-0.009445657
52.308초,-0.009585074
52.359초,-0.009394717
52.409초,-0.009275998
52.455초,-0.009364168
52.505초,-0.009599728
52.556초,-0.009554432
52.606초,-0.009408817
52.657초,-0.009520173
52.707초,-0.00974072
52.758초,-0.009704391
52.808초,-0.009616168
52.854초,-0.009664454
52.909초,-0.009967241
52.955초,-0.009980344
53.005초,-0.009913003
53.056초,-0.009952989
53.106초,-0.01024461
53.157초,-0.01037443
53.207초,-0.01031929
53.258초,-0.01035339
53.308초,-0.0106082
53.354초,-0.01077924
53.41초,-0.01071907
53.455초,-0.01071933
53.506초,-0.01089411
53.556초,-0.01115545
53.607초,-0.01117953
53.657초,-0.01103806
53.708초,-0.01124796
53.753초,-0.01142975
53.809초,-0.01155871
53.854초,-0.01151076
53.905초,-0.01153768
53.955초,-0.01185743
54.006초,-0.01206912
54.057초,-0.01195845
54.107초,-0.01193856
54.157초,-0.01228273
54.208초,-0.01243316
54.253초,-0.01247371
54.309초,-0.01230071
54.354초,-0.01251701
54.405초,-0.01278242
54.46초,-0.0127218
54.506초,-0.01269
54.557초,-0.01288867
54.607초,-0.01314818
54.657초,-0.01320389
54.708초,-0.01308065
54.753초,-0.01314012
54.809초,-0.01347077
54.86초,-0.0135382
54.905초,-0.01351881
54.956초,-0.01349403
55.006초,-0.01371529
55.057초,-0.01388785
55.107초,-0.01382168
55.158초,-0.01378771
55.208초,-0.01398107
55.254초,-0.01413309
55.304초,-0.0142373
55.36초,-0.0140962
55.405초,-0.01416227
55.456초,-0.01441641
55.506초,-0.0145437
55.557초,-0.01439738
55.607초,-0.01443879
55.653초,-0.01459205
55.708초,-0.01483338
55.759초,-0.01465177
55.804초,-0.01461697
55.86초,-0.01496036
55.905초,-0.01506721
55.956초,-0.01497149
56.006초,-0.01483862
56.057초,-0.0150488
56.107초,-0.01526737
56.158초,-0.01514033
56.209초,-0.01504784
56.259초,-0.01522713
56.305초,-0.0153713
56.355초,-0.01540367
56.406초,-0.01520826
56.456초,-0.01523595
56.507초,-0.0154647
56.557초,-0.01552401
56.608초,-0.01534339
56.658초,-0.01540051
56.704초,-0.01550423
