Time,Var1
50.105초,0.003524293
50.11초,0.003521588
50.156초,0.003507278
50.206초,0.003482476
50.257초,0.003474737
50.307초,0.003416273
50.358초,0.003386545
50.403초,0.003430665
50.459초,0.003394592
50.504초,0.003277599
50.555초,0.003261527
50.611초,0.003237702
50.656초,0.003263077
50.707초,0.003334135
50.757초,0.003356756
50.808초,0.003224851
50.858초,0.003114764
50.904초,0.003174288
50.959초,0.003283116
51.005초,0.003263251
51.055초,0.003153311
51.106초,0.003152856
51.156초,0.003248872
51.207초,0.003224792
51.257초,0.003121958
51.308초,0.003139274
51.358초,0.00319852
51.404초,0.003189624
51.454초,0.00310015
51.51초,0.003127994
51.555초,0.003176256
51.606초,0.003201214
51.656초,0.003190507
51.707초,0.00310295
51.757초,0.003154275
51.803초,0.003209993
51.858초,0.003202873
51.909초,0.003173485
51.954초,0.003141812
52.01초,0.003236337
52.055초,0.003228266
52.106초,0.003178602
52.157초,0.003168199
52.207초,0.003246024
52.258초,0.003270578
52.308초,0.003225421
52.359초,0.003241205
52.409초,0.003385644
52.455초,0.003329681
52.505초,0.003312883
52.556초,0.003300332
52.606초,0.003384029
52.657초,0.00344901
52.707초,0.00338899
52.758초,0.003335196
52.808초,0.003428916
52.854초,0.003504239
52.909초,0.003390549
52.955초,0.003380762
53.005초,0.003457409
53.056초,0.00354088
53.106초,0.003505901
53.157초,0.003454036
53.207초,0.003482217
53.258초,0.003534555
53.308초,0.003529682
53.354초,0.003482874
53.41초,0.003588255
53.455초,0.003603746
53.506초,0.00363119
53.556초,0.003564395
53.607초,0.003587647
53.657초,0.003652352
53.708초,0.003639563
53.753초,0.003629513
53.809초,0.003620957
53.854초,0.003645687
53.905초,0.003700781
53.955초,0.003727403
54.006초,0.003660666
54.057초,0.00372746
54.107초,0.003749177
54.157초,0.003772537
54.208초,0.003718196
54.253초,0.003711308
54.309초,0.003797801
54.354초,0.003813715
54.405초,0.003781162
54.46초,0.003730041
54.506초,0.003765763
54.557초,0.00386702
54.607초,0.003845248
54.657초,0.003740167
54.708초,0.003841562
54.753초,0.003904236
54.809초,0.003798613
54.86초,0.003743135
54.905초,0.003784911
54.956초,0.003874275
55.006초,0.003839458
55.057초,0.003804187
55.107초,0.003795581
55.158초,0.003874594
55.208초,0.003829571
55.254초,0.003881725
55.304초,0.00386312
55.36초,0.00396701
55.405초,0.003848298
55.456초,0.003865659
55.506초,0.003832279
55.557초,0.003847496
55.607초,0.003887137
55.653초,0.003884889
55.708초,0.003837813
55.759초,0.003930656
55.804초,0.00389376
55.86초,0.003884274
55.905초,0.003858814
55.956초,0.003851869
56.006초,0.003873717
56.057초,0.00389649
56.107초,0.003839235
56.158초,0.003840192
56.209초,0.003929839
56.259초,0.003938091
56.305초,0.003907973
56.355초,0.003867028
56.406초,0.003917659
56.456초,0.003960604
56.507초,0.003899829
56.557초,0.003830607
56.608초,0.003916207
56.658초,0.004021227
56.704초,0.004007604
56.759초,0.003875081
56.805초,0.003879804
56.855초,0.004020421
56.906초,0.004052458
56.956초,0.003876461
57.007초,0.003924689
57.057초,0.004040067
57.108초,0.003966312
57.158초,0.003905952
57.204초,0.003962121
57.259초,0.003983794
57.305초,0.003985088
57.355초,0.003945667
57.406초,0.003955336
57.456초,0.003983609
57.507초,0.003978333
57.558초,0.003946447
57.608초,0.003910414
57.659초,0.003976081
57.704초,0.003965542
57.755초,0.003987415
57.81초,0.003919616
57.856초,0.003956322
57.906초,0.003975659
57.957초,0.004019625
58.007초,0.003968707
58.058초,0.003939292
58.103초,0.003967239
58.159초,0.004024845
58.204초,0.004020909
58.255초,0.003930993
58.31초,0.003981016
58.356초,0.004062461
58.406초,0.004002412
58.457초,0.00393035
58.507초,0.00395975
58.558초,0.004064614
58.603초,0.004073248
58.659초,0.003946046
58.709초,0.003980531
58.755초,0.004019999
58.805초,0.004077357
58.856초,0.003863167
58.907초,0.004110001
58.957초,0.003893099
59.008초,0.003974137
59.058초,0.004101614
59.109초,0.003924691
59.154초,0.003996848
59.21초,0.003936255
59.255초,0.003832073
59.306초,0.004043785
59.356초,0.004034428
59.407초,0.003934989
59.457초,0.003993482
59.503초,0.004040942
59.558초,0.004043688
59.609초,0.003850623
59.654초,0.004126847
59.71초,0.003890794
59.755초,0.004182541
59.806초,0.003850311
59.856초,0.003713701
59.907초,0.004396994
59.957초,0.003953333
60.008초,0.003790316
60.058초,0.004336588
60.109초,0.004171589
60.154초,0.003921178
60.205초,0.004908391
60.255초,0.00399643
60.306초,0.005411102
60.357초,0.004366979
60.407초,0.004709212
60.458초,0.004512845
60.508초,0.002648739
60.554초,-0.0003007082
60.609초,-0.002325944
60.655초,-0.005104628
60.705초,-0.002935118
