Time,Var1
50.105초,-2.671232
50.11초,-2.671233
50.156초,-2.671246
50.206초,-2.67127
50.257초,-2.671523
50.307초,-2.671226
50.358초,-2.670988
50.403초,-2.671189
50.459초,-2.671112
50.504초,-2.67122
50.555초,-2.671324
50.611초,-2.671288
50.656초,-2.671146
50.707초,-2.671036
50.757초,-2.671109
50.808초,-2.671267
50.858초,-2.671253
50.904초,-2.671165
50.959초,-2.671156
51.005초,-2.671291
51.055초,-2.671425
51.106초,-2.671355
51.156초,-2.671242
51.207초,-2.671277
51.257초,-2.671333
51.308초,-2.671234
51.358초,-2.671087
51.404초,-2.671039
51.454초,-2.671095
51.51초,-2.671037
51.555초,-2.670959
51.606초,-2.670898
51.656초,-2.670978
51.707초,-2.671004
51.757초,-2.670898
51.803초,-2.670883
51.858초,-2.670975
51.909초,-2.671049
51.954초,-2.671059
52.01초,-2.671033
52.055초,-2.671166
52.106초,-2.671316
52.157초,-2.671279
52.207초,-2.671169
52.258초,-2.671236
52.308초,-2.671325
52.359초,-2.671177
52.409초,-2.67102
52.455초,-2.671034
52.505초,-2.671156
52.556초,-2.671131
52.606초,-2.671012
52.657초,-2.671054
52.707초,-2.671175
52.758초,-2.67111
52.808초,-2.671
52.854초,-2.671065
52.909초,-2.671268
52.955초,-2.67126
53.005초,-2.671163
53.056초,-2.671204
53.106초,-2.671352
53.157초,-2.67136
53.207초,-2.671299
53.258초,-2.671323
53.308초,-2.671408
53.354초,-2.671426
53.41초,-2.671335
53.455초,-2.671278
53.506초,-2.671274
53.556초,-2.671298
53.607초,-2.671221
53.657초,-2.671072
53.708초,-2.671049
53.753초,-2.671078
53.809초,-2.67108
53.854초,-2.671006
53.905초,-2.670955
53.955초,-2.671066
54.006초,-2.67116
54.057초,-2.671187
54.107초,-2.671236
54.157초,-2.671476
54.208초,-2.671701
54.253초,-2.671776
54.309초,-2.671718
54.354초,-2.671781
54.405초,-2.671902
54.46초,-2.671793
54.506초,-2.671699
54.557초,-2.671721
54.607초,-2.671843
54.657초,-2.671863
54.708초,-2.671731
54.753초,-2.671718
54.809초,-2.67187
54.86초,-2.67185
54.905초,-2.671767
54.956초,-2.671654
55.006초,-2.671786
55.057초,-2.671879
55.107초,-2.671797
55.158초,-2.671755
55.208초,-2.671938
55.254초,-2.67203
55.304초,-2.672019
55.36초,-2.671936
55.405초,-2.671965
55.456초,-2.672054
55.506초,-2.67198
55.557초,-2.671854
55.607초,-2.67182
55.653초,-2.671826
55.708초,-2.671834
55.759초,-2.67172
55.804초,-2.671648
55.86초,-2.671732
55.905초,-2.671779
55.956초,-2.671726
56.006초,-2.671597
56.057초,-2.671655
56.107초,-2.671807
56.158초,-2.671739
56.209초,-2.671611
56.259초,-2.671703
56.305초,-2.671792
56.355초,-2.671793
56.406초,-2.671687
56.456초,-2.671708
56.507초,-2.67183
56.557초,-2.671839
56.608초,-2.671761
56.658초,-2.671781
56.704초,-2.671843
56.759초,-2.671973
56.805초,-2.671968
56.855초,-2.671917
56.906초,-2.672023
56.956초,-2.672131
57.007초,-2.6721
57.057초,-2.67203
57.108초,-2.672145
57.158초,-2.672266
57.204초,-2.672243
57.259초,-2.672101
57.305초,-2.672122
57.355초,-2.672261
57.406초,-2.67224
57.456초,-2.672114
57.507초,-2.672117
57.558초,-2.672234
57.608초,-2.672242
57.659초,-2.672176
57.704초,-2.672196
57.755초,-2.672322
57.81초,-2.67241
57.856초,-2.672427
57.906초,-2.672354
57.957초,-2.67244
58.007초,-2.67257
58.058초,-2.672572
58.103초,-2.672529
58.159초,-2.672613
58.204초,-2.672743
58.255초,-2.672832
58.31초,-2.672696
58.356초,-2.67271
58.406초,-2.672856
58.457초,-2.67286
58.507초,-2.672709
58.558초,-2.672694
58.603초,-2.672755
58.659초,-2.672826
58.709초,-2.672714
58.755초,-2.67269
58.805초,-2.672856
58.856초,-2.672987
58.907초,-2.672959
58.957초,-2.673117
59.008초,-2.67307
59.058초,-2.673228
59.109초,-2.673353
59.154초,-2.673323
59.21초,-2.673441
59.255초,-2.673412
59.306초,-2.673484
59.356초,-2.673555
59.407초,-2.673594
59.457초,-2.673679
59.503초,-2.673799
59.558초,-2.673863
59.609초,-2.673921
59.654초,-2.674053
59.71초,-2.674019
59.755초,-2.674118
59.806초,-2.674128
59.856초,-2.674294
59.907초,-2.674412
59.957초,-2.674692
60.008초,-2.674795
60.058초,-2.674933
60.109초,-2.675017
60.154초,-2.675349
60.205초,-2.675505
60.255초,-2.675783
60.306초,-2.676194
60.357초,-2.676434
60.407초,-2.676931
60.458초,-2.67741
60.508초,-2.678544
60.554초,-2.680859
60.609초,-2.684082
60.655초,-2.687161
60.705초,-2.691133
60.756초,-2.693742
60.806초,-2.697426
60.857초,-2.701128
60.907초,-2.704584
60.958초,-2.707865
61.008초,-2.711615
61.054초,-2.714789
61.109초,-2.719111
61.155초,-2.722374
61.205초,-2.72597
61.256초,-2.729815
61.306초,-2.732394
61.357초,-2.735622
61.407초,-2.737202
61.458초,-2.738819
61.508초,-2.740166
61.554초,-2.740901
61.605초,-2.741586
61.66초,-2.742764
61.706초,-2.743751
61.756초,-2.74527
61.806초,-2.745664
61.857초,-2.747502
61.908초,-2.748854
61.953초,-2.750731
62.009초,-2.753601
62.054초,-2.756117
62.105초,-2.759026
62.16초,-2.762133
62.206초,-2.765004
62.256초,-2.768451
62.307초,-2.77089
62.357초,-2.77365
62.408초,-2.775467
62.453초,-2.776749
62.509초,-2.777841
62.559초,-2.756048
62.605초,-2.756045
62.655초,-2.756067
62.706초,-2.755926
62.756초,-2.75517
62.807초,-2.755884
62.857초,-2.755784
62.908초,-2.756542
62.959초,-2.758343
63.004초,-2.759784
63.06초,-2.76108
63.105초,-2.761878
63.156초,-2.763226
63.206초,-2.764638
63.257초,-2.766219
63.307초,-2.767752
63.358초,-2.769865
63.408초,-2.772261
63.459초,-2.775471
63.504초,-2.778322
63.56초,-2.782381
63.605초,-2.786706
63.656초,-2.791457
63.706초,-2.796341
63.757초,-2.8012
63.807초,-2.807689
63.858초,-2.812683
63.903초,-2.816459
63.959초,-2.819221
64.004초,-2.820457
64.055초,-2.821477
64.105초,-2.820965
64.156초,-2.820272
64.206초,-2.819087
64.257초,-2.816454
64.307초,-2.813029
64.358초,-2.809081
64.403초,-2.805363
64.459초,-2.800709
64.505초,-2.796983
64.555초,-2.792602
64.611초,-2.787302
64.656초,-2.78304
64.707초,-2.77784
64.757초,-2.772486
64.808초,-2.766982
64.858초,-2.761956
64.904초,-2.757999
64.959초,-2.753887
65.005초,-2.751391
65.055초,-2.748496
65.106초,-2.745354
65.156초,-2.743068
65.207초,-2.740109
65.257초,-2.737323
65.308초,-2.733928
65.358초,-2.731416
65.404초,-2.729842
65.454초,-2.729373
65.51초,-2.729164
65.555초,-2.730582
65.606초,-2.732776
65.656초,-2.735932
65.707초,-2.740054
65.758초,-2.74434
65.803초,-2.748918
65.859초,-2.754297
65.909초,-2.760112
65.955초,-2.76507
66.01초,-2.771432
66.056초,-2.776512
66.106초,-2.782195
66.157초,-2.787241
66.207초,-2.79176
66.258초,-2.795247
66.303초,-2.798001
66.359초,-2.800631
66.409초,-2.802119
66.455초,-2.803338
66.505초,-2.805301
66.556초,-2.80585
66.606초,-2.807878
66.657초,-2.809159
66.707초,-2.809649
