Time,Var1
50.1초,-0.02105663
50.111초,-0.02098828
50.202초,-0.0205952
50.303초,-0.02069465
50.404초,-0.01953511
50.505초,-0.02055524
50.606초,-0.02047102
50.707초,-0.02056153
50.808초,-0.02191921
50.899초,-0.02287403
51.01초,-0.02133921
51.101초,-0.02240908
51.202초,-0.01627825
51.303초,-0.008661862
51.404초,0.008316846
51.505초,0.02144584
51.606초,0.03899125
51.707초,0.05199194
51.798초,0.0664876
51.909초,0.08167329
52.01초,0.0964313
52.101초,0.1063641
52.202초,0.1159727
52.303초,0.1245294
52.404초,0.1325935
52.505초,0.1378801
52.606초,0.1437425
52.707초,0.1473642
52.808초,0.1506524
52.91초,0.1516075
53초,0.1527963
53.102초,0.1542345
53.203초,0.1522671
53.304초,0.152437
53.405초,0.1483319
53.506초,0.1479336
53.607초,0.143282
53.708초,0.1431885
53.809초,0.1365485
53.9초,0.1347466
54.001초,0.1295395
54.102초,0.1261291
54.203초,0.1208166
54.304초,0.1176889
54.405초,0.1126247
54.506초,0.1073482
54.607초,0.101557
54.708초,0.09741374
54.809초,0.09166142
54.9초,0.08648824
55.001초,0.08378334
55.102초,0.07572906
55.204초,0.07302614
55.305초,0.06606913
55.405초,0.06362265
55.507초,0.0551222
55.608초,0.0530357
55.709초,0.04545926
55.8초,0.04190939
55.901초,0.03826291
56.002초,0.03364819
56.103초,0.02865766
56.204초,0.0251884
56.305초,0.0214463
56.406초,0.0179891
56.507초,0.0141056
56.608초,0.01041122
56.699초,0.008453524
56.8초,0.003821482
56.901초,0.002473473
57.002초,-0.001969553
57.103초,-0.003299076
57.204초,-0.006398137
57.305초,-0.007481577
57.406초,-0.01234912
57.507초,-0.01211738
57.608초,-0.01483631
57.699초,-0.01474548
57.81초,-0.0177652
57.901초,-0.01746905
58.002초,-0.01828906
58.104초,-0.02061069
58.204초,-0.02120679
58.305초,-0.02219043
58.407초,-0.0223375
58.508초,-0.02376378
58.599초,-0.02328887
58.71초,-0.02506863
58.801초,-0.02479259
58.902초,-0.02570524
59.003초,-0.02531305
59.104초,-0.02681321
59.205초,-0.02672211
59.306초,-0.02578729
59.407초,-0.02916379
59.498초,-0.0239101
59.609초,-0.02650643
59.71초,-0.02491343
59.801초,-0.03265281
59.902초,-0.02075716
60.003초,-0.03352039
60.104초,-0.03037033
60.205초,-0.03237683
