Time,Var1
50.1초,-0.02066085
50.111초,-0.02042006
50.202초,-0.01825082
50.303초,-0.01618231
50.404초,-0.01365945
50.505초,-0.0109255
50.606초,-0.01069019
50.707초,-0.006734892
50.808초,-0.003736495
50.899초,-0.003150399
51.01초,0.0007748845
51.101초,0.0002557517
51.202초,0.007423971
51.303초,0.01285433
51.404초,0.02285841
51.505초,0.02919999
51.606초,0.04123378
51.707초,0.04895677
51.798초,0.05613187
51.909초,0.06470096
52.01초,0.07294014
52.101초,0.07843805
52.202초,0.08302687
52.303초,0.08913255
52.404초,0.09200386
52.505초,0.09581697
52.606초,0.09721984
52.707초,0.1007911
52.808초,0.1017495
52.91초,0.1025072
53초,0.1004295
53.102초,0.1016941
53.203초,0.09849242
53.304초,0.1003823
53.405초,0.09624272
53.506초,0.09631106
53.607초,0.09135407
53.708초,0.09129681
53.809초,0.08667844
53.9초,0.08672088
54.001초,0.0834483
54.102초,0.08009145
54.203초,0.07696956
54.304초,0.07418012
54.405초,0.0705818
54.506초,0.06642617
54.607초,0.06331453
54.708초,0.06007611
54.809초,0.0582262
54.9초,0.05196671
55.001초,0.05197655
55.102초,0.04649895
55.204초,0.04634934
55.305초,0.04244658
55.405초,0.04006887
55.507초,0.03484448
55.608초,0.03402398
55.709초,0.02932253
55.8초,0.02906861
55.901초,0.02630883
56.002초,0.02066246
56.103초,0.02174984
56.204초,0.0163089
56.305초,0.01523926
56.406초,0.01320236
56.507초,0.01141543
56.608초,0.006803233
56.699초,0.006729818
56.8초,0.003791454
56.901초,0.003135412
57.002초,0.0002655834
57.103초,-0.0006058876
57.204초,-0.004711912
57.305초,-0.002559141
57.406초,-0.006198218
57.507초,-0.005315633
57.608초,-0.01010974
57.699초,-0.008648667
57.81초,-0.01084379
57.901초,-0.01175208
58.002초,-0.0124098
58.104초,-0.01460521
58.204초,-0.01400989
58.305초,-0.0163507
58.407초,-0.01574213
58.508초,-0.01755735
58.599초,-0.01618606
58.71초,-0.01816066
58.801초,-0.01674486
58.902초,-0.02070777
59.003초,-0.02020312
59.104초,-0.01869548
59.205초,-0.01970187
59.306초,-0.01971638
59.407초,-0.01623107
59.498초,-0.02109948
59.609초,-0.01541265
59.71초,-0.01535075
59.801초,-0.02095663
59.902초,-0.02581312
60.003초,-0.01982867
60.104초,-0.02644932
60.205초,-0.01560728
60.306초,-0.01963383
60.407초,-0.01395989
60.508초,0.004842663
