Time,Var1
50.1초,0.274843
50.111초,0.2746784
50.202초,0.2735018
50.303초,0.2723469
50.404초,0.2712789
50.505초,0.2694352
50.606초,0.268803
50.707초,0.2661028
50.808초,0.2648458
50.899초,0.262067
51.01초,0.260901
51.101초,0.2583451
51.202초,0.2594062
51.303초,0.2647933
51.404초,0.2721073
51.505초,0.2787691
51.606초,0.285721
51.707초,0.2923092
51.798초,0.2981516
51.909초,0.3039748
52.01초,0.3091787
52.101초,0.313131
52.202초,0.3149418
52.303초,0.3185768
52.404초,0.319538
52.505초,0.3211732
52.606초,0.3203112
52.707초,0.3191657
52.808초,0.3174079
52.91초,0.3152322
53초,0.3117239
53.102초,0.3091673
53.203초,0.3038858
53.304초,0.3000934
53.405초,0.294397
53.506초,0.2894522
53.607초,0.2822206
53.708초,0.2769549
53.809초,0.2684211
53.9초,0.2634459
54.001초,0.2563497
54.102초,0.2476452
54.203초,0.241025
54.304초,0.2336424
54.405초,0.2261895
54.506초,0.218205
54.607초,0.2107686
54.708초,0.2006465
54.809초,0.1942336
54.9초,0.1868797
55.001초,0.1791797
55.102초,0.1713854
55.204초,0.1629185
55.305초,0.1547989
55.405초,0.1477174
55.507초,0.1398192
55.608초,0.1322519
55.709초,0.123778
55.8초,0.1175964
55.901초,0.1111914
56.002초,0.1033739
56.103초,0.09655031
56.204초,0.08925211
56.305초,0.08293935
56.406초,0.07672642
56.507초,0.07093381
56.608초,0.06529492
56.699초,0.0603554
56.8초,0.05354305
56.901초,0.04897987
57.002초,0.04237912
57.103초,0.03725705
57.204초,0.03123352
57.305초,0.02705742
57.406초,0.02212538
57.507초,0.01690514
57.608초,0.01290659
57.699초,0.008032416
57.81초,0.003469581
57.901초,0.0006028787
58.002초,-0.002486373
58.104초,-0.006161241
58.204초,-0.009143433
58.305초,-0.01272689
58.407초,-0.0156367
58.508초,-0.01937377
58.599초,-0.02177328
58.71초,-0.02489105
58.801초,-0.02636703
58.902초,-0.02921552
59.003초,-0.03224583
59.104초,-0.03366507
59.205초,-0.0378519
59.306초,-0.0390614
59.407초,-0.03967422
59.498초,-0.04068923
59.609초,-0.04204801
59.71초,-0.04359131
59.801초,-0.04081102
59.902초,-0.04870736
60.003초,-0.04682534
60.104초,-0.04660334
60.205초,-0.04738788
60.306초,-0.05006838
60.407초,-0.0477143
60.508초,-0.08355875
60.609초,-0.20404
60.7초,-0.334679
60.801초,-0.4811148
60.902초,-0.6473476
61.003초,-0.7366418
61.105초,-0.7682454
61.206초,-0.7976982
61.307초,-0.8388013
61.408초,-0.8781203
61.509초,-0.9129285
61.6초,-0.9148688
61.701초,-0.9246733
